Landscape simplification;Weeds;Vegetation
Low;Low;Low
Low;Low to medium;Low
Low;Medium to high;Low
Low;High;Low to medium
Low to medium;Low;Low
Low to medium;Low to medium;Low to medium
Low to medium;Medium to high;Low to medium
Low to medium;High;Low to medium
Medium to high;Low;Low to medium
Medium to high;Low to medium;Medium to high
Medium to high;Medium to high;Medium to high
Medium to high;High;Medium to high
High;Low;Medium to high
High;Low to medium;Medium to high
High;Medium to high;High
High;High;High
